CVE-2012-5611 EXPLOIT-DB:23075
CVE-2014-3631 EXPLOIT-DB:36268
CVE-2011-3192 EXPLOIT-DB:17696
CVE-2014-4014 EXPLOIT-DB:33824
CVE-2015-3214 EXPLOIT-DB:37990
CVE-2016-3672 EXPLOIT-DB:39669
CVE-2016-7200 EXPLOIT-DB:40990
CVE-2016-7200 EXPLOIT-DB:40785
CVE-2010-1146 EXPLOIT-DB:12130
CVE-2014-1912 EXPLOIT-DB:31875
CVE-2015-3290 EXPLOIT-DB:37722
CVE-2016-2226 EXPLOIT-DB:42386
CVE-2007-5958 EXPLOIT-DB:5152
CVE-2012-2122 EXPLOIT-DB:19092
CVE-2015-2153 EXPLOIT-DB:37663
CVE-2017-7494 EXPLOIT-DB:42060
CVE-2017-7494 EXPLOIT-DB:42084
CVE-2017-9150 EXPLOIT-DB:42048
CVE-2016-1247 EXPLOIT-DB:40768
CVE-2016-3115 EXPLOIT-DB:39569
CVE-2017-0781 EXPLOIT-DB:44415
CVE-2017-1000371 EXPLOIT-DB:42273
CVE-2017-1000371 EXPLOIT-DB:42276
CVE-2014-6271 EXPLOIT-DB:39918
CVE-2014-6271 EXPLOIT-DB:40619
CVE-2014-6271 EXPLOIT-DB:40938
CVE-2014-6271 EXPLOIT-DB:38849
CVE-2014-6271 EXPLOIT-DB:37816
CVE-2014-6271 EXPLOIT-DB:34879
CVE-2014-6271 EXPLOIT-DB:42938
CVE-2015-7855 EXPLOIT-DB:40840
CVE-2008-6996 EXPLOIT-DB:6355
CVE-2016-3074 EXPLOIT-DB:39736
CVE-2015-6972 EXPLOIT-DB:38191
CVE-2017-14491 EXPLOIT-DB:42941
CVE-2016-7288 EXPLOIT-DB:41357
CVE-2017-0411 EXPLOIT-DB:41354
CVE-2016-6772 EXPLOIT-DB:40945
CVE-2015-3202 EXPLOIT-DB:37089
CVE-2016-4997 EXPLOIT-DB:40435
CVE-2016-4997 EXPLOIT-DB:40489
